column_a,player_id,year,rnd,pick,tm,player,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
2001Renaldo Hill,HillRe20,2001,7,202,ARI,Renaldo Hill,No,DB,DB,19,22,2010,0,0,7,37,12,141,,,,,,,,,,,,487,19,6.5,Michigan St.
2001Dauntae' Finger,,2001,7,205,TAM,Dauntae' Finger,No,TE,TE,0,,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina
2001Colston Weatherington,WeatCo20,2001,7,207,DAL,Colston Weatherington,No,DE,DE,0,23,2002,0,0,0,0,0,3,,,,,,,,,,,,1,,,Central Missouri St.
2001John Capel,,2001,7,208,CHI,John Capel,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,,Florida
2001Alex Lincoln,,2001,7,209,SFO,Alex Lincoln,No,LB,LB,0,,,0,0,0,,,,,,,,,,,,,,,,,,Auburn
2001Harold Blackmon,BlacHa20,2001,7,210,SEA,Harold Blackmon,No,DB,DB,1,23,2002,0,0,0,1,1,9,,,,,,,,,,,,1,,,Northwestern
2001Louis Williams,WillLo20,2001,7,211,CAR,Louis Williams,No,C,C,0,22,2002,0,0,0,0,0,2,,,,,,,,,,,,,,,LSU
2001Corey Hall,HallCo20,2001,7,215,ATL,Corey Hall,No,DB,DB,0,22,2001,0,0,0,0,0,3,,,,,,,,,,,,,,,Appalachian St.
2001Kynan Forney,FornKy20,2001,7,219,ATL,Kynan Forney,No,G,G,35,23,2009,0,0,6,38,38,98,,,,,,,,,,,,,,,Hawaii
2001Ennis Davis,,2001,7,221,NOR,Ennis Davis,No,DT,DT,0,,,0,0,0,,,,,,,,,,,,,,,,,,USC
2001Dennis Norman,NormDe20,2001,7,222,SEA,Dennis Norman,No,C,C,10,21,2009,0,0,1,17,0,74,,,,,,,,,,,,,,,Princeton
2001Than Merrill,MerrTh20,2001,7,223,TAM,Than Merrill,No,DB,DB,1,23,2001,0,0,0,1,,15,,,,,,,,,,,,7,,,Yale
2001Eric Johnson,JohnEr00,2001,7,224,SFO,Eric Johnson,No,TE,TE,14,22,2007,0,0,5,18,16,71,,,,,,,,,240,2178,9,9,,,Yale
2001Brian Crawford,,2001,7,225,MIN,Brian Crawford,No,T,T,0,,,0,0,0,,,,,,,,,,,,,,,,,,West. Oregon
2001Ronald Flemons,FlemRo20,2001,7,226,ATL,Ronald Flemons,No,DE,DE,0,21,2004,0,0,0,0,0,6,,,,,,,,,,,,1,,0.5,Texas A&M
2001Mike Roberg,RobeMi00,2001,7,227,CAR,Mike Roberg,No,TE,TE,0,24,2002,0,0,0,0,,13,,,,,,,,,2,17,1,1,,,Idaho
2001Ross Kolodziej,KoloRo20,2001,7,230,NYG,Ross Kolodziej,No,DT,DT,10,23,2007,0,0,1,11,1,54,,,,,,,,,,,,30,,4,Wisconsin
2001Joe Tafoya,TafoJo20,2001,7,234,TAM,Joe Tafoya,No,DE,DE,4,23,2007,0,0,0,7,,76,,,,,,,,,,,,69,,3.5,Arizona
2001Quentin McCord,McCoQu00,2001,7,236,ATL,Quentin McCord,No,WR,WR,5,23,2003,0,0,0,5,5,25,,,,,,4,13,0,23,427,1,7,,,Kentucky
2001Kris Kocurek,KocuKr20,2001,7,237,SEA,Kris Kocurek,No,DT,DT,0,22,2001,0,0,0,0,,1,,,,,,,,,,,,,,,Texas Tech
2001John Nix,NixxJo20,2001,7,240,DAL,John Nix,No,DT,DT,2,24,2004,0,0,0,2,2,31,,,,,,,,,,,,14,,,Southern Miss
2001Char-ron Dorsey,DorsCh20,2001,7,242,DAL,Char-ron Dorsey,No,T,T,1,23,2002,0,0,0,1,1,12,,,,,,,,,,,,,,,Florida St.
2001Tevita Ofahengaue,,2001,7,246,ARI,Tevita Ofahengaue,No,TE,TE,0,,,0,0,0,,,,,,,,,,,,,,,,,,BYU
2000LaVar Arrington,ArriLa00,2000,1,2,WAS,LaVar Arrington,No,LB,LB,44,22,2006,0,3,4,46,45,85,,,,,,,,,,,,331,3,23.5,Penn St.
2000Chris Samuels,SamuCh00,2000,1,3,WAS,Chris Samuels,No,T,T,37,23,2009,0,6,9,62,62,141,,,,,,,,,,,,1,,,Alabama
2000Corey Simon,SimoCo00,2000,1,6,PHI,Corey Simon,No,DT,DT,45,23,2007,0,1,6,45,41,95,,,,,,,,,0,0,0,190,,32,Florida St.
